model,member,scenario,horizon,year_start,year_end,fips5,month,d_tas_C,d_tasmax_C,pr_ratio
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17109,6,2.668803480377335,3.1066841255560007,0.9899678507478942
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17111,6,2.828190514495816,3.148681800079089,1.048265904910663
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17117,6,2.7500735782999186,3.062789687394286,1.018667658832863
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17125,6,2.72593587749418,3.1007901656125796,1.0214582147246922
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17127,6,2.6616252137346805,2.879822776974379,1.1416873643609737
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17133,6,2.763642629693777,3.0163981576961874,1.0094904788611592
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17137,6,2.7191238544008343,3.054945757599853,1.0009460409317654
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17141,6,2.723403480458387,3.200269376614756,1.0288562634949756
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17143,6,2.7140689271511746,3.1211610857328083,1.0229599582078983
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17147,6,2.785113745056435,3.114156016298807,1.0997732232855157
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17153,6,2.6556700215507476,2.882472432798295,1.1437703399754013
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17159,6,2.776403545667847,3.0556675069545918,1.0673019573833646
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17165,6,2.7191916726812337,2.9612410223409142,1.0619081501825707
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17167,6,2.761977721328776,3.1053568603171584,1.0454637284688957
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17177,6,2.716684717784119,3.2283831023681273,1.0569730055028719
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17183,6,2.803109034642489,3.1125546098657537,1.1317923546328503
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17191,6,2.7564100198837878,3.0348203430076524,1.0388029810090045
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17195,6,2.6784861888689306,3.149244248750165,1.0336370604756204
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17197,6,2.8374432390945685,3.1042095603318103,1.0050559352063215
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17001,6,2.675807674287853,3.0577846603529792,0.9606221038359539
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17017,6,2.7122753719885395,3.0758659759169973,1.0045414978488056
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17025,6,2.764650270847369,3.0580760645649434,1.0595961501533624
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17039,6,2.775723577221868,3.1160461324809035,1.0764164416522684
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17045,6,2.802077819041699,3.1097270491292193,1.157768362010562
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17061,6,2.729380622586916,3.030882058099337,0.9918249395327453
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17069,6,2.7046056852019547,2.9225442658743646,1.06459849806288
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17071,6,2.6468380025688703,3.1014721124043376,0.9928998896641141
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17075,6,2.815611704970138,3.1139486972649024,1.0885210480694552
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17087,6,2.689631327778443,2.9165579321310133,1.1017454250085101
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17095,6,2.6834379991948936,3.1171207024704017,1.018335071579578
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17113,6,2.772205075054501,3.1178401618983003,1.067084443749998
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17123,6,2.7320940461196415,3.1363274653733697,1.0214590458067025
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17135,6,2.756965635556128,3.0788170263753045,1.0348769653804857
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17151,6,2.68148021175125,2.8987898880634475,1.1117920625883058
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17163,6,2.754142288245589,3.023152373755977,0.9839044999401059
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17187,6,2.673491481238898,3.109846271274307,1.0074507577900589
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17199,6,2.7042968574998554,2.944702033417684,1.079883688880517
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17059,6,2.7217322120321796,2.9553530814227997,1.0587049685639962
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17067,6,2.6491225684400774,3.100971766664827,0.9633343203257649
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17083,6,2.742987798930983,3.0286393634861497,0.9872341969143332
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17085,6,2.6672902720435445,3.188118304523414,1.0782079280751948
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17097,6,2.8729526664739637,3.113430875109998,1.0499355068396299
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17115,6,2.776794369038555,3.1147366636862444,1.0759989290218281
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17119,6,2.748058423344503,3.0386645043719795,0.9991385522843728
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17013,6,2.740599827631115,3.017956301428285,0.9764676028747155
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17021,6,2.776460841272524,3.114977384787835,1.0662281635916913
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17027,6,2.7312926777933626,3.033116139165145,1.0053801261311557
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17031,6,2.8645550761602863,3.108296777194255,1.0300865753269295
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17149,6,2.6974694192245465,3.031498631181364,0.9701856110506902
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17157,6,2.743652608634136,2.99513260890393,1.0575459622920143
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17161,6,2.6472226711689473,3.1188372964949735,1.0387177273583226
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17171,6,2.7147378892804,3.0418899747130013,0.9936812979876443
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17173,6,2.7784995607262317,3.1001562359563195,1.0878212922799777
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17181,6,2.682921203237072,2.917511461339359,1.123512264684231
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17185,6,2.7769707847766085,3.044939502540501,1.0587291763247926
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17193,6,2.7485394498556275,3.000546339575749,1.055971980578846
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17201,6,2.7556681319750282,3.2188579916638673,1.0491301185923718
